ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode,year,times_listened
2022-06-25T21:26:42Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",4089,IN,122.176.178.134,unknown,Dance Alone,Blanks,Dance Alone,spotify:track:4c7KKGVfRKTZB6iAUoiQzM,,,,clickrow,endplay,False,,False,1656192397530,False,2022,1.0
2022-06-25T21:28:03Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",6555,IN,122.176.178.134,unknown,I Am Falling For You,Loving Caliber,I Am Falling For You,spotify:track:6t2J8WQZv1bl0GN1bsMB66,,,,clickrow,endplay,False,,False,1656192475006,False,2022,1.0
2022-06-25T21:28:07Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",3509,IN,122.176.178.134,unknown,hypotheticals,sad alex,hypotheticals,spotify:track:1HI84AsI0wokonlV760TRT,,,,clickrow,endplay,False,,False,1656192483345,False,2022,1.0
2022-06-25T21:28:22Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",15031,IN,122.176.178.134,unknown,Wii Date,City Girl,Wii Date,spotify:track:2bM3ptRxLbPQngcYwKGDfI,,,,clickrow,endplay,False,,False,1656192487523,False,2022,1.0
2022-06-25T21:28:30Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",6776,IN,122.176.178.134,unknown,RUN (with GRAY),Lee Jin Ah,Jinah Restaurant Full Course,spotify:track:0vwVGoBPYRRBnw2z8Nyssi,,,,clickrow,endplay,False,,False,1656192502919,False,2022,1.0
2022-06-25T21:28:55Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",5020,IN,122.176.178.134,unknown,Ma Huggies,FIG,Ma Huggies,spotify:track:3Lw6hkRgYOjRPxoxGXxMbD,,,,clickrow,endplay,False,,False,1656192530402,False,2022,1.0
2022-06-25T21:28:56Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",0,IN,122.176.178.134,unknown,A Guy That I'd Kinda Be Into,Stephanie Hsu,Be More Chill,spotify:track:3JMuqa4x9ZMWxgA8RaAiya,,,,clickrow,endplay,False,,False,1656192535976,False,2022,2.0
2022-06-25T21:29:09Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",7087,IN,122.176.178.134,unknown,You Ruined My Village and Broke My Heart,Lovemark,You Ruined My Village and Broke My Heart,spotify:track:2MyaO5Ss7ycrNlMfum7voo,,,,clickrow,endplay,False,,False,1656192542268,False,2022,1.0
2022-06-25T21:29:16Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",4084,IN,122.176.178.134,unknown,Burnt Tamales,Danny Casale,Burnt Tamales,spotify:track:2elOUh9AQDx19QX4IeXpPb,,,,clickrow,endplay,False,,False,1656192550428,False,2022,1.0
2022-06-25T21:30:08Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",9014,IN,122.176.178.134,unknown,Strawberry Kisses,Olivia Herdt,Soft Letters,spotify:track:1djQJxMeggP8vhG85tFfQi,,,,clickrow,endplay,False,,False,1656192599051,False,2022,1.0
2022-06-25T21:33:18Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",18642,IN,122.176.178.134,unknown,Pope Is a Rockstar,SALES,SALES LP,spotify:track:0So2sgVa8aJiARPl2P29u2,,,,clickrow,endplay,False,,False,1656192778544,False,2022,1.0
2022-06-25T21:41:09Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",176210,IN,122.176.178.134,unknown,Tasty Carrots,Shou,Tasty Carrots,spotify:track:54FgTS1O5kbZLaPjsCFY6x,,,,trackdone,trackdone,False,,False,1656193092546,False,2022,1.0
2022-06-25T21:42:28Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",78624,IN,122.176.178.134,unknown,Castaways (Indie Pop),Andy Yu,Castaways (Indie Pop),spotify:track:1XqBU0mTkc6A6MPQTYnZRs,,,,trackdone,trackdone,False,,False,1656193269435,False,2022,1.0
2022-06-25T21:44:22Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",114166,IN,122.176.178.134,unknown,Omae Wa Mou,Shayne Orok,Omae Wa Mou,spotify:track:1DwRMXgy4kh5E3KJdX6M10,,,,trackdone,trackdone,False,,False,1656193348379,False,2022,5.0
2022-06-26T11:03:28Z,rt47etgc6xpwhhhb8575rth83,web_player windows 10;microsoft edge 103.0.1264.37;desktop,270950,AE,146.70.37.179,,Honeypie,JAWNY,For Abby,spotify:track:1bt443XPmX5ZG5DjhMJ8Rh,,,,remote,trackdone,False,,False,0,False,2022,2.0
2022-06-27T14:47:17Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",159786,IN,106.202.180.190,unknown,Castle on the Hill,2CELLOS,Dedicated (Extended Edition),spotify:track:4Bks4NvpD5aaBC8bcpP6KQ,,,,trackdone,endplay,True,,False,1656341076291,False,2022,1.0
2022-06-27T19:06:11Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",152717,IN,106.202.180.190,unknown,Be Good,Waxahatchee,American Weekend,spotify:track:6JdEXGcSKqKrF6M5ZjzxwH,,,,trackdone,trackdone,False,,False,1656356618470,False,2022,2.0
2022-06-27T19:10:18Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 11 API 30 (samsung, SM-A107F)",246173,IN,106.202.180.190,unknown,Manchester,Kishi Bashi,151a,spotify:track:6Ehg6hFp7O2qUF3njy7dAj,,,,trackdone,trackdone,False,,False,1656356771734,False,2022,2.0
